media_id,rating,comment
82,1,Total waste of time
95,3,Kept me hooked throughout
29,2,Feels recycled
14,5,Must watch for everyone
76,4,Mind blowing experience
4,1,Masterpiece of modern cinema
30,5,Groundbreaking stuff
4,5,Average at best
92,5,Loved every minute
29,4,Cheesy but enjoyable
36,1,Gripping from start to finish
21,4,Best thing I watched this year
36,2,Masterpiece of modern cinema
98,3,Decent but could be better
12,4,Decent but could be better
46,3,Groundbreaking stuff
34,1,Fresh and original
59,5,One of the best I have seen
49,1,Weak script
38,5,Solid 4 out of 5
74,2,Dry and lifeless
9,1,Hidden gem
30,3,Must watch for everyone
30,1,Surprisingly good
36,4,Would watch again
47,2,Solid 4 out of 5
46,2,Hidden gem
35,1,Groundbreaking stuff
82,2,Great background score
94,2,Overrated in my opinion
60,4,Stunning visuals
82,5,Not worth the hype
88,3,Lost interest halfway
100,1,Not worth the hype
5,3,Nothing special
35,1,Masterpiece of modern cinema
73,3,Masterpiece of modern cinema
84,4,Nothing special
83,4,Highly recommended
34,2,Kept me hooked throughout
96,5,Great background score
34,5,Too long and dragged
75,4,Solid 4 out of 5
29,2,Light hearted fun
64,1,Gripping from start to finish
7,1,Highly recommended
81,2,Overhyped trash
55,5,Boring and slow paced
50,4,Groundbreaking stuff
60,5,Predictable plot but fun
71,1,Overhyped trash
93,1,Overhyped trash
69,3,Lost interest halfway
83,3,One of the best I have seen
38,4,Overrated in my opinion
59,1,Fresh and original
93,3,Light hearted fun
98,2,Light hearted fun
14,3,Would watch again
65,5,Average at best
20,3,Gripping from start to finish
21,5,Lost interest halfway
68,1,Groundbreaking stuff
42,4,Total waste of time
15,3,Exceeded my expectations
31,1,Kept me hooked throughout
73,1,Must watch for everyone
94,4,Boring and slow paced
98,5,Lost interest halfway
17,2,Hidden gem
61,5,Overrated in my opinion
34,5,Groundbreaking stuff
55,2,Great background score
97,2,Dry and lifeless
40,4,Hidden gem
84,3,Instant classic
67,4,One of the best I have seen
32,2,Boring and slow paced
